packet_size,duration_ms,src_port,dst_port,failed_logins,request_rate,payload_size,touch_count,bytes_per_ms,payload_ratio,auth_density,privileged_dst,is_tamper_event,request_burst,service_risk,touch_intensity,dwell_score,mesh_signal,event_type,scenario,label,actor_type
1286,15,56532,80,2,220.94,988,0,85.7333,0.7683,0.0091,0,0,1,0.2,0.0,0.0679,0,network,request_flood,attack,bot
926,6,34530,8080,2,307.35,1431,0,154.3333,1.5,0.0065,0,0,1,0.28,0.0,0.0195,0,network,request_flood,attack,bot
196,81,37406,1883,0,5.81,57,0,2.4198,0.2908,0.0,1,0,0,0.52,0.0,13.9415,1,mesh_alert,mesh_status,normal,benign
616,224,23198,443,0,4.18,400,0,2.75,0.6494,0.0,0,0,0,0.18,0.0,53.5885,0,network,firmware_check,normal,benign
240,81,54243,1883,0,4.34,61,0,2.963,0.2542,0.0,1,0,0,0.52,0.0,18.6636,1,mesh_alert,mesh_status,normal,benign
326,181,53423,8080,3,49.42,134,0,1.8011,0.411,0.0607,0,0,0,0.28,0.0,3.6625,1,mesh_alert,mesh_pivot_alert,attack,apt
605,160,48963,443,0,4.19,352,0,3.7812,0.5818,0.0,0,0,0,0.18,0.0,38.1862,0,network,firmware_check,normal,benign
224,576,34720,443,3,13.14,74,1,0.3889,0.3304,0.2283,0,0,0,0.18,0.333,43.8356,0,network,low_and_slow_probe,attack,apt
561,143,56868,443,0,6.55,363,0,3.9231,0.6471,0.0,0,0,0,0.18,0.0,21.8321,0,network,firmware_check,normal,benign
217,75,55116,1883,0,7.66,84,0,2.8933,0.3871,0.0,1,0,0,0.52,0.0,9.7911,1,mesh_alert,mesh_status,normal,benign
906,23,54266,1883,1,245.17,466,0,39.3913,0.5143,0.0041,1,0,1,0.52,0.0,0.0938,0,network,request_flood,attack,bot
582,284,32329,443,0,6.74,459,0,2.0493,0.7887,0.0,0,0,0,0.18,0.0,42.1365,0,network,firmware_check,normal,benign
249,113,48808,1883,0,6.91,76,0,2.2035,0.3052,0.0,1,0,0,0.52,0.0,16.3531,1,mesh_alert,mesh_status,normal,benign
197,99,37791,22,22,65.74,298,0,1.9899,1.5,0.3347,1,0,0,0.86,0.0,1.5059,0,network,credential_stuffing,attack,human
326,201,54617,443,0,10.2,136,0,1.6219,0.4172,0.0,0,0,0,0.18,0.0,19.7059,0,status,dashboard_poll,normal,benign
189,89,30973,1883,0,3.86,80,0,2.1236,0.4233,0.0,1,0,0,0.52,0.0,23.057,1,mesh_alert,mesh_status,normal,benign
460,118,48784,443,0,21.74,299,0,3.8983,0.65,0.0,0,0,0,0.18,0.0,5.4278,0,network,telemetry_upload,normal,benign
417,191,54168,80,0,9.15,204,0,2.1832,0.4892,0.0,0,0,0,0.2,0.0,20.8743,0,status,dashboard_poll,normal,benign
479,122,45354,8080,0,19.21,303,0,3.9262,0.6326,0.0,0,0,0,0.28,0.0,6.3509,0,network,telemetry_upload,normal,benign
